NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Артиллерийская;106;21044;;МТК / MTW (Zenner) (Германия);8489076;23.06.2017;9187           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Либединского;45;24073;;WP / WPH  (ZENNER) (германия);11055692;26.06.2017;1426           
Советский район;71056;"ООО ""ДЕМЕТРА""";Якорная;5;25316;;МТК / MTW (Zenner) (Германия);6512345;06.07.2012;2782           
Советский район;71056;"ООО ""ДЕМЕТРА""";Советская;31;25392;;МТК  / MTW (Zenner) (Германия);1310022977;06.02.2013;10437          
Советский район;71056;"ООО ""ДЕМЕТРА""";Дубовая;16А;25283;;МТК  / MTW (Zenner) (Германия);6728169;06.07.2012;10433          
Ленинский район;71029;"ООО ""ЖК Центрального района""";Трубников;25;24790;;"МСХ ""Алексеевский""";04310414;23.05.2017;8005           
Калининский район;71116;"ООО ""ФЕНИКС""";Победы;131;17708;;МТК  / MTW (Zenner) (Германия);161015684;18.05.2017;3358           
Советский район;71055;"ООО ""Авилум""";Воровского;83;17070;;МТК  / MTW (Zenner) (Германия);10556448;26.05.2017;10534          
Советский район;71055;"ООО ""Авилум""";Воровского;63А;4427;;МТК  / MTW (Zenner) (Германия);10556447;26.05.2017;10532          
Советский район;71112;"ООО ""Унита""";Доватора;24А;4475;;WP / WPH  (ZENNER) (германия);12000036;05.08.2013;5538           
Советский район;71055;"ООО ""Авилум""";Доватора;22;4483;;МТК / MTW (Zenner) (Германия);1310000833;05.08.2013;05553          
Советский район;71055;"ООО ""Авилум""";Доватора;20;4480;;МТК / MTW (Zenner) (Германия);7310000836;05.08.2013;10376          
Калининский район;71072;"ООО ""УК ""Альфа""";250-летия Челябинска;1Б;19393;;МТК  / MTW (Zenner) (Германия);5766044;04.07.2017;1              
Центральный район;71098;"ООО УК ""Ремжилзаказчик Центрального района""";Ленина;74;3939;;МТК / MTW (Zenner) (Германия);11226100;05.02.2014;264            
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;28;3963;;WP/WPH (ZENNER) (Германия);05002972;12.07.2012;03287          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Куйбышева;23;921;;ВСХН (POWOGAZ);10807498;12.05.2017;3169           
Калининский район;71119;"ООО ""Эко-Дом""";Чичерина;29;2049;;ВСКМ (г.Москва);045350438;10.05.2017;3149           
Калининский район;71006;"ЖСК ""Старт""";Чичерина;29;2049;;ВСКМ (г.Москва);045350438;10.05.2017;3149           
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;115;135;;МТК  / MTW (Zenner) (Германия);161021791;27.12.2016;6489           
Калининский район;71119;"ООО ""Эко-Дом""";Чичерина;29;50843;;ВСКМ (г.Москва);205369163;10.05.2017;10709          
Калининский район;71006;"ЖСК ""Старт""";Чичерина;29;50843;;ВСКМ (г.Москва);205369163;10.05.2017;10709          
Советский район;71009;"АО ""МЖКО""";Калининградская;24;25232;;СВМ (Бетар) (г.Чистополь);23004405;05.07.2017;10320          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;17;1166;;МТК / MTW (Zenner) (Германия);1410007557;27.04.2016;3264           
Курчатовский район;71106;"ООО ""УК ""Флагман""";Комсомольский;134;838;;СТВ/ СТВХ (СТВГ) (азербайжан);276500862;13.06.2017;10129          
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Сергея Герасимова;27;41508;;ВСХН (POWOGAZ);162333955;04.04.2017;7673           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Эльтонская 2-я;49;38492;;МТК / MTW (Zenner) (Германия);11610978;04.04.2017;7675           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Ленина;51;1320;;МТК  / MTW (Zenner) (Германия);5764374;11.07.2017;10317          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;132;837;;ВСХ (г.Мытищи);1519;09.06.2017;10126          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Салавата Юлаева;1;839;;ВСХ (г.Мытищи);0184;13.06.2017;4008           
Курчатовский район;71094;"ООО  УК ""Наш дом""";Молодогвардейцев;32А;28320;;СВМ (Бетар) (г.Чистополь);28485702;13.06.2017;10430          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;38;909;;ВСХН ( POWOGAZ);16349123;13.06.2017;10134          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;41;4375;;МТК  / MTW (Zenner) (Германия);6728263;06.03.2013;"1622;10357     "
Советский район;71055;"ООО ""Авилум""";Дарвина;107;4538;;WP / WPH  (ZENNER) (германия);12034534;07.05.2013;4271           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;90А;1180;;МТК  / MTW (Zenner) (Германия);1210039934;29.05.2014;"10361;         "
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;84Б;1117;;МТК / MTW (Zenner) (Германия);6512369;29.05.2014;"3903;0903      "
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Пушкина;60;1128;;МТК  / MTW (Zenner) (Германия);171010680;16.06.2017;10369          
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Скульптора Головницкого;4;42985;;СВМТ (Бетар) (г.Чистополь);28759365;19.06.2017;10131          
Тракторозаводский район;71081;"ООО ""Академия""";Конструктора Духова;2;51264;;МТК / MTW (Zenner) (Германия);161021503;11.09.2016;3423           
Курчатовский район;71054;"ООО ""Мастер-Дом""";Профессора Благих;63А;38391;;МТК / MTW (Zenner) (Германия);11610979;01.10.2017;3306           
Тракторозаводский район;71010;"ООО ""Агентство ""Вертикаль""";Хохрякова;38;38445;;ВМХ (холодн);03141;05.10.2017;9974           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Танкистов;189А;6437;;WP / WPH  (ZENNER) (германия);11057454;06.10.2017;888            
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;4;849;;ВСХ (г.Мытищи);1583;20.09.2017;11503          
Советский район;71156;"ТСЖ ""ЭНЕРГИЯ""";Российская;275;18586;;ВСКМ (г.Москва);043986;15.11.2017;8439           
Советский район;71156;"ТСЖ ""ЭНЕРГИЯ""";Доватора;34А;16781;;"ОСВУ ""нептун""  хвс";147402716;15.11.2017;6818           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;45;17052;;МТК  / MTW (Zenner) (Германия);10001712;15.11.2017;6816           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Блюхера;2Б;17071;;МТК  / MTW (Zenner) (Германия);1001697;15.11.2017;6821           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;4;850;;ВСХ (г.Мытищи);1546;20.09.2017;11516          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;4;851;;ВСХ (г.Мытищи);1588;20.09.2017;11513          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;1;841;;ВСХ (г.Мытищи);1521;20.09.2017;11459          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;4А;848;;ВСХ (г.Мытищи);1581;20.09.2017;11502          
Курчатовский район;71054;"ООО ""Мастер-Дом""";Комсомольский;88А;819;;МТК  / MTW (Zenner) (Германия);04697169;21.11.2017;4070           
Металлургический район;71060;"ООО ""Ремжилзаказчик-ЖЭУ № 3""";Ярослава Гашека;20;41738;;СВМ (Бетар) (г.Чистополь);31562508;22.11.2017;7614           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;38;50081;;МТК  / MTW (Zenner) (Германия);1310005646;20.10.2017;"3975;3961      "
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Революции;1;20784;;МТК  / MTW (Zenner) (Германия);1310019414;20.10.2017;"280;281        "
Тракторозаводский район;71034;"ООО ""ЖЭУ-1""";Горького;5А;39460;;СВУ/ СВХ ;27192;20.10.2017;9868           
Тракторозаводский район;71034;"ООО ""ЖЭУ-1""";Горького;5А;52424;;СВУ/ СВХ ;27050;20.10.2017;9867           
Курчатовский район;71092;"ООО УК ""Микрорайон Радужный""";Профессора Благих;83;27645;;ВМХ (г.Москва);9750216;09.08.2017;3919           
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Эльтонская 2-я;24;24040;;WP / WPH  (ZENNER) (германия);13047782;30.11.2017;9583           
Советский район;71055;"ООО ""Авилум""";Воровского;75;4709;;МТК  / MTW (Zenner) (Германия);10556449;14.08.2017;11369          
Советский район;71055;"ООО ""Авилум""";Воровского;79;4714;;WP/WPH (ZENNER) (Германия);05000933;14.08.2017;10113          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;84В;1118;;МТК  / MTW (Zenner) (Германия);171007059;21.07.2017;10324          
Центральный район;71033;"ООО ЖКХ ""УЮТ""";Свердловский;78;1717;;СВМ (Бетар) (г.Чистополь);23004131;16.08.2017;10048          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;16А;2683;;МТК / MTW (Zenner) (Германия);1310016700;09.08.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;69;1891;;МТК  / MTW (Zenner) (Германия);03930325;04.03.2013;02997          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;41;3966;;МТК  / MTW (Zenner) (Германия);03930333;05.04.2013;04278          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Труда;175;3943;;МТК / MTW (Zenner) (Германия);1310020460;23.10.2013;00992          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Сони Кривой;42;19485;;WP / WPH  (ZENNER) (германия);12025274;09.08.2013;02642          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Володарского;9А;4156;;МТК / MTW (Zenner) (Германия);20138488993;31.10.2013;4              
Центральный район;71192;"ТСЖ ""ЯРТИПС""";Энтузиастов;21А;58115;;ЕТК (Minol) (Германия);0608001107;16.03.2015;3682           
Калининский район;71001;"ЖСК ""Гарант""";Чичерина;42А;2085;;СТВ/ СТВХ  ( СТВГ)(Азербайджан);017146-В17;01.08.2017;11740          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;24А;905;;ВСХН (POWOGAZ);001172;22.08.2017;11026          
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Комарова;114;7882;;ВМХ (г.Москва);100144455;01.08.2017;7156           
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Комарова;116;23563;;ВМХ (холодн);090071629;08.08.2017;7155           
Центральный район;71103;"ООО УК ""Строитель-97""";Воровского;52А;8059;;СВМ (Бетар) (г.Чистополь);30348705;17.08.2017;10028          
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Артиллерийская;114;6469;;МТК / MTW (Zenner) (Германия);1310028004;03.10.2017;6810           
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Артиллерийская;114;43122;;МТК / MTW (Zenner) (Германия);1210053606;03.10.2017;0590           
Ленинский район;71088;"ООО УК ""Ленком""";Барбюса;69;4871;;WP / WPH  (ZENNER) (германия);17026816;19.09.2017;7131           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Либединского;53;24077;;МТК  / MTW (Zenner) (Германия);1310000183;20.10.2017;1225           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Ворошилова;11;633;;WP / WPH (ZENNER)(Германия);13008215;26.06.2014;11455          
Курчатовский район;71001;"ЖСК ""Гарант""";Захаренко;3;14242;;WP/WPH (ZENNER) (Германия);14323191;13.07.2015;11457          
Курчатовский район;71081;"ООО ""Академия""";Шагольская;2А;38744;;WP / WPH  (ZENNER) (германия);05003234;15.09.2017;11509          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;72;811;;ВСХН ( POWOGAZ);17351183;03.11.2017;11606          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Салавата Юлаева;1В;16433;;ВСХ/ ВСГ/ ВСТ (г.Мытищи);04376245;03.11.2017;11616          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;112;830;;ВСХ (г.Мытищи);1518;03.11.2017;4067           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;104;16436;;ВСХ (г.Мытищи);0185;03.11.2017;11603          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;94;15406;;ВСХН (APATOR);04376238;03.11.2017;11618          
Курчатовский район;71054;"ООО ""Мастер-Дом""";Шагольская ул 1-й квартал;6А;38525;;WP / WPH  (ZENNER) (германия);05003283;01.08.2017;11138          
Курчатовский район;71006;"ЖСК ""Старт""";Комсомольский;51;2716;;СВХ-50 (Росконтроль);Р-27623-15;01.08.2017;11137          
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;2;20138;;МТК / MTW (Zenner) (Германия);1010399;01.08.2017;11093          
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Куйбышева;25А;15250;;ВСКМ (г.Москва);212610;03.11.2017;11605          
Центральный район;71165;"ООО ""Метаком Сервис""";Свердловский;58А;7485;;ОСВХ /ОСВУ (г.Москва)(ПК Прибор);175039;15.04.2013;11187          
Курчатовский район;71202;"ТСН ""НГ-Сервис""";Свердловский;21;14066;;Норма МКД;781;01.08.2017;
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;1;842;;ВСХ (г.Мытищи);0194;07.09.2017;11246          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;5;853;;ВСХ (г.Мытищи);0187;04.09.2017;11238          
Курчатовский район;71193;"ТСЖ ""ДРУЖБА-КУРЧАТОВЕЦ""";Чичерина;5;853;;ВСХ (г.Мытищи);0187;04.09.2017;11238          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;6;856;;ВСХ (г.Мытищи);1520;04.09.2017;3029           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;2;843;;ВСХ (г.Мытищи);1516;04.09.2017;11233          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;2;845;;ВСХ (г.Мытищи);0188;04.09.2017;11230          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Салавата Юлаева;1А;840;;ВСХ (г.Мытищи);1548;04.09.2017;11231          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;48;2885;;ВСХН (POWOGAZ);001175;06.09.2017;11244          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;8;858;;ВСХ (г.Мытищи);1589;04.09.2017;3048           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;8;860;;ВСХ (г.Мытищи);1550;04.09.2017;11236          
Ленинский район;71095;"ООО УК ""НОВОСТРОЙ""";Гюго;2;13685;;WP/WPH (ZENNER) (Германия);12025382;15.03.2013;0680           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Танкистов;181;23809;;МТК / MTW (Zenner) (Германия);171007286;27.11.2017;9586           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Танкистов;191А;23811;;WP / WPH  (ZENNER) (германия);17028297;27.11.2017;9586           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Танкистов;146Б;41906;;Minomess (Minol) (германия);4059235;27.11.2017;9584           
Ленинский район;71050;"ООО ""Титан""";Энергетиков;20;24814;;МТК  / MTW (Zenner) (Германия);6768526;08.11.2012;9643           
Ленинский район;71052;"ООО ""Гефест""";Батумская;9А;38564;;ВСКМ (г.Москва);049054;25.08.2011;7374           
Ленинский район;71052;"ООО ""Гефест""";Барбюса;5А;38585;;МТК / MTW (Zenner) (Германия);11610830;15.11.2011;7596           
Ленинский район;71052;"ООО ""Гефест""";Копейское;43Б;43132;;ВСХН (POWOGAZ);13514433;19.06.2013;316            
Ленинский район;71050;"ООО ""Титан""";Энергетиков;18;24813;;МТК / MTW (Zenner) (Германия);1310020606;05.11.2013;9645           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Горького;63;5461;;WP / WPH (ZENNER)(Германия);17020879;28.11.2017;9686           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;25А;44133;;WP / WPH  (ZENNER) (германия);05061629;28.11.2017;9689           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;5Б;38260;;СКБ;0334614;28.11.2017;9588           
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;52Б;38325;;WP / WPH (ZENNER)(Германия);12025953;01.10.2017;5695           
Калининский район;71019;"ООО ""ДЕЗ Калининского района""";Косарева;52Б;38325;;WP / WPH (ZENNER)(Германия);12025953;01.10.2017;5695           
Курчатовский район;71199;"ООО ""Монарх""";Бейвеля;54;41788;;МТК / MTW (Zenner) (Германия);1310001151;07.06.2013;3784           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;14;10238;;WP / WPH  (ZENNER) (германия);05061987;14.11.2017;4615           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;18А;42538;;МТК  / MTW (Zenner) (Германия);1002073;14.11.2017;11825          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;17А;1112;;МТК / MTW (Zenner) (Германия);171005645;24.11.2017;6896           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;84Г;1119;;МТК  / MTW (Zenner) (Германия);1001701;24.11.2017;6898           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;346;2933;;ВСХН (POWOGAZ);11633707;23.11.2017;4077           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Ворошилова;31;2907;;WP / WPH  (ZENNER) (германия);05061807;23.11.2017;4079           
Калининский район;71072;"ООО ""УК ""Альфа""";Университетская Набережная;14;21912;;СВУ/СВХ ( Кредо) г.Челябинск);Д-0002417;05.09.2017;3126           
Калининский район;71027;"ООО УК ""Норд""";Братьев Кашириных;85Б;38502;;ВСХН (POWOGAZ);17332404;01.09.2017;3129           
Калининский район;71027;"ООО УК ""Норд""";Братьев Кашириных;85А;37283;;СВМТ (Бетар) (г.Чистополь);31847307;18.09.2017;3139           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;20;667;;ВМХ (холодн);080085159;18.09.2017;11511          
Советский район;71056;"ООО ""ДЕМЕТРА""";Октябрьская;17а;25369;;МТК / MTW (Zenner) (Германия);8488904;28.09.2017;10032          
Советский район;71056;"ООО ""ДЕМЕТРА""";Челябинская;20А;25420;;WP / WPH  (ZENNER) (германия);11053605;27.09.2017;10044          
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Скульптора Головницкого;12А;41812;;ВСКМ (г.Москва);167101498;18.08.2017;11187          
Калининский район;71027;"ООО УК ""Норд""";Братьев Кашириных;85А;36822;;СВМТ (Бетар) (г.Чистополь);31847136;03.10.2017;11735          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;38А;910;;МТК / MTW (Zenner) (Германия);5767646;01.12.2017;4062           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;9А;3400;;МТК / MTW (Zenner) (Германия);8489004;01.12.2017;4064           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Тепличная;3;10324;;МТК  / MTW (Zenner) (Германия);05061853;27.11.2013;11242          
Советский район;71056;"ООО ""ДЕМЕТРА""";Челябинская;20В;25422;;WP / WPH  (ZENNER) (германия);11053474;06.10.2017;10037          
Советский район;71103;"ООО УК ""Строитель-97""";Монакова;35;15405;;МТК  / MTW (Zenner) (Германия);01443793;04.08.2017;10166          
Советский район;71103;"ООО УК ""Строитель-97""";Монакова;31;24215;;WP / WPH  (ZENNER) (германия);16071036;04.08.2017;10165          
Советский район;71103;"ООО УК ""Строитель-97""";Монакова;31;41117;;"ОСВУ ""нептун""  хвс";079841;04.08.2017;10723          
Советский район;71103;"ООО УК ""Строитель-97""";Монакова;33;24214;;МТК / MTW (Zenner) (Германия);03602956;04.08.2017;10156          
Советский район;71117;"ООО Фирма ""Уют-Сервис""";Окружная 2-я;3;38479;;МТК / MTW (Zenner) (Германия);5767616;04.08.2017;9867           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;26;422;;WP / WPH  (ZENNER) (германия);05002964;05.07.2012;7950           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;128;828;;ВСХ (г.Мытищи);1587;09.10.2017;11407          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;8;859;;ВСХ (г.Мытищи);1585;09.10.2017;11403          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Зальцмана;48;38901;;МТК  / MTW (Zenner) (Германия);6159245;28.07.2017;7478           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Зальцмана;48;38903;;WP / WPH  (ZENNER) (германия);11014810;10.10.2017;7656           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;6;21102;;МТК / MTW (Zenner) (Германия);03927135;26.09.2017;4060           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;18;21097;;МТК / MTW (Zenner) (Германия);03927102;26.09.2017;7093           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Чоппа;5;3401;;МТК  / MTW (Zenner) (Германия);04697168;26.09.2017;7664           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Чоппа;4;21090;;МТК  / MTW (Zenner) (Германия);03927161;26.09.2017;7062           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Чоппа;6;21089;;МТК / MTW (Zenner) (Германия);3930545;26.09.2017;7065           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;2;639;;WP/WPH (ZENNER) (Германия);12060262;11.10.2013;11695          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;18Б;666;;МТК / MTW (Zenner) (Германия);1310020617;13.11.2013;11506          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;50;5643;;WP/WPH (ZENNER) (Германия);05060995;28.11.2013;11256          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Ворошилова;5;629;;WP / WPH  (ZENNER) (германия);05061906;11.10.2017;11762          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Танкистов;40А;3406;;МТК / MTW (Zenner) (Германия);03930544;26.10.2017;7651           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Вязовая;31;3407;;МТК  / MTW (Zenner) (Германия);04697194;26.10.2017;7655           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;10А;3283;;МТК  / MTW (Zenner) (Германия);04697218;26.10.2017;7063           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;10А;41777;;МТК  / MTW (Zenner) (Германия);1004195;26.10.2017;8989           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;10;10230;;WP / WPH  (ZENNER) (германия);05061619;11.10.2017;11507          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;10;10232;;WP / WPH  (ZENNER) (германия);05061654;11.10.2017;07827          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;26;21095;;МТК / MTW (Zenner) (Германия);03927116;26.10.2017;9823           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;28;21094;;МТК / MTW (Zenner) (Германия);03927150;26.10.2017;9816           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Зальцмана;46;38900;;WP / WPH  (ZENNER) (германия);11014722;27.10.2017;9815           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Зальцмана;46;39654;;ВСХН (POWOGAZ);10814742;27.10.2017;9817           
Курчатовский район;71094;"ООО  УК ""Наш дом""";Комсомольский;64;28161;;СВМ (Бетар) (г.Чистополь);30348398;01.08.2017;3636           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Первой Пятилетки;7;38144;;ВМХ (холодн);080035061;14.08.2017;7173           
Калининский район;71078;"ООО ""УК ""Жилищник-С""";250-летия Челябинска;20А;40445;;ВСКМ (г.Москва);212608;01.01.2018;11894          
Калининский район;71078;"ООО ""УК ""Жилищник-С""";Чичерина;29А;19893;;ВСКМ (г.Москва);212609;01.01.2018;11890          
Калининский район;71078;"ООО ""УК ""Жилищник-С""";Чичерина;32Б;15252;;ВСХН (POWOGAZ);11653092;01.01.2018;11888          
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Победы;342А;25473;;МТК  / MTW (Zenner) (Германия);303596916;01.01.2018;9888           
Советский район;71078;"ООО ""УК ""Жилищник-С""";Красного Урала;10;13959;;ВСХН (POWOGAZ);11653067;01.01.2018;11886          
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Комсомольский;40А;16794;;ВСХН (POWOGAZ);11653072;01.01.2018;6791           
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Комсомольский;38В;13958;;ВСХН (POWOGAZ);11617588;01.01.2018;11899          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;30;44163;;WP / WPH (ZENNER)(Германия);13000301;25.01.2018;9316           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Танкистов;150А;23798;;МТК / MTW (Zenner) (Германия);1210053677;07.12.2017;9487           
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Первой Пятилетки;10А;24005;;WP / WPH (ZENNER)(Германия);06500994;07.12.2017;9489           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;25А;3251;;WP / WPH  (ZENNER) (германия);13029841;15.01.2018;9345           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Марченко;15В;23771;;МТК / MTW (Zenner) (Германия);1210053645;15.01.2018;9497           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Марченко;33В;3411;;WP / WPH (ZENNER)(Германия);17020842;15.01.2018;9498           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;75;37902;;"ОСВУ ""нептун""  хвс";287103702;26.03.2018;5838           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;75;21072;;СКБ;42898;26.03.2018;7455           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Хлебозаводская;2;41740;;МТК / MTW (Zenner) (Германия);03927132;26.03.2018;6916           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Хлебозаводская;2;40812;;МТК / MTW (Zenner) (Германия);03927137;26.03.2018;6903           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Пекинская;29;22989;;МТК / MTW (Zenner) (Германия);03927136;26.03.2018;6810           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Аносова;5;22995;;МТК / MTW (Zenner) (Германия);03927082;26.03.2018;6924           
